ProbeSet,Gene Symbol,Chr,Mb
10338094,Affy_10338094,Un,1.0
10338095,Psmb5,14,55.233001
10338096,Affy_10338096,Un,1.0
10338097,Affy_10338097,Un,1.0
10338098,Hdac5,11,102.078942
10338099,Affy_10338099,Un,1.0
10338100,Affy_10338100,Un,1.0
10338101,Affy_10338101,Un,1.0
10338102,Affy_10338102,Un,1.0
10338103,Affy_10338103,Un,1.0
10338104,Affy_10338104,Un,1.0
10338105,Affy_10338105,Un,1.0
10338106,Affy_10338106,Un,1.0
10338107,Affy_10338107,Un,1.0
10338108,Affy_10338108,Un,1.0
10338109,Dlg1,16,31.846543
10338110,Affy_10338110,Un,1.0
10338111,Affy_10338111,Un,1.0
10338112,Affy_10338112,Un,1.0
10338113,Affy_10338113,Un,1.0
10338114,Affy_10338114,Un,1.0
10338115,Affy_10338115,Un,1.0
10338116,Wars,12,11.009945
10338117,Affy_10338117,Un,1.0
10338118,Affy_10338118,Un,1.0
10338119,Affy_10338119,Un,1.0
10338120,Affy_10338120,Un,1.0
10338121,Affy_10338121,Un,1.0
10338122,Psph,5,130.275819
10338123,Copa,1,174.051832
10338124,Affy_10338124,Un,1.0
10338125,Affy_10338125,Un,1.0
10338126,Affy_10338126,Un,1.0
10338127,Affy_10338127,Un,1.0
10338128,Affy_10338128,Un,1.0
10338129,Affy_10338129,Un,1.0
10338130,Affy_10338130,Un,1.0
10338131,Affy_10338131,Un,1.0
10338132,Affy_10338132,Un,1.0
10338133,Affy_10338133,Un,1.0
10338134,Affy_10338134,Un,1.0
10338135,Affy_10338135,Un,1.0
10338136,Affy_10338136,Un,1.0
10338137,Affy_10338137,Un,1.0
10338138,Affy_10338138,Un,1.0
10338139,Affy_10338139,Un,1.0
10338140,Affy_10338140,Un,1.0
10338141,Affy_10338141,Un,1.0
10338142,Affy_10338142,Un,1.0
10338143,Affy_10338143,Un,1.0
10338144,Tbl3,17,24.841397
10338145,Affy_10338145,Un,1.0
10338146,Affy_10338146,Un,1.0
10338147,Affy_10338147,Un,1.0
10338148,Affy_10338148,Un,1.0
10338149,Affy_10338149,Un,1.0
10338150,Affy_10338150,Un,1.0
10338151,Affy_10338151,Un,1.0
10338152,Affy_10338152,Un,1.0
10338153,Affy_10338153,Un,1.0
10338154,Affy_10338154,Un,1.0
10338155,Affy_10338155,Un,1.0
10338156,Affy_10338156,Un,1.0
10338157,Affy_10338157,Un,1.0
10338158,Affy_10338158,Un,1.0
10338159,Affy_10338159,Un,1.0
10338160,Affy_10338160,Un,1.0
10338161,Affy_10338161,Un,1.0
10338162,Affy_10338162,Un,1.0
10338163,Affy_10338163,Un,1.0
10338164,Affy_10338164,Un,1.0
10338165,Affy_10338165,Un,1.0
10338166,Affy_10338166,Un,1.0
10338167,Affy_10338167,Un,1.0
10338168,Gbf1,19,46.346483
10338169,Affy_10338169,Un,1.0
10338170,Affy_10338170,Un,1.0
10338171,Affy_10338171,Un,1.0
10338172,Affy_10338172,Un,1.0
10338173,Polr2f,15,78.977349
10338174,Affy_10338174,Un,1.0
10338175,Affy_10338175,Un,1.0
10338176,Affy_10338176,Un,1.0
10338177,Affy_10338177,Un,1.0
10338178,Affy_10338178,Un,1.0
10338179,Affy_10338179,Un,1.0
10338180,Hb1bp3,4,137.778022
10338181,Affy_10338181,Un,1.0
10338182,Affy_10338182,Un,1.0
10338183,Affy_10338183,Un,1.0
10338184,Affy_10338184,Un,1.0
10338185,Affy_10338185,Un,1.0
10338186,Affy_10338186,Un,1.0
10338187,Affy_10338187,Un,1.0
10338188,Affy_10338188,Un,1.0
10338189,Affy_10338189,Un,1.0
10338190,Affy_10338190,Un,1.0
10338191,Affy_10338191,Un,1.0
10338192,Affy_10338192,Un,1.0
10338193,Affy_10338193,Un,1.0
10338194,Affy_10338194,Un,1.0
10338195,Affy_10338195,Un,1.0
10338196,Affy_10338196,Un,1.0
10338197,Affy_10338197,Un,1.0
10338198,Affy_10338198,Un,1.0
10338199,Affy_10338199,Un,1.0
10338200,Affy_10338200,Un,1.0
10338201,Affy_10338201,Un,1.0
10338202,Affy_10338202,Un,1.0
10338203,Affy_10338203,Un,1.0
10338204,Affy_10338204,Un,1.0
10338205,Affy_10338205,Un,1.0
10338206,Affy_10338206,Un,1.0
10338207,Affy_10338207,Un,1.0
10338208,Affy_10338208,Un,1.0
10338209,Affy_10338209,Un,1.0
10338210,Affy_10338210,Un,1.0
10338211,Affy_10338211,Un,1.0
10338212,Affy_10338212,Un,1.0
10338213,Affy_10338213,Un,1.0
10338214,Affy_10338214,Un,1.0
10338215,Affy_10338215,Un,1.0
10338216,Affy_10338216,Un,1.0
10338217,Affy_10338217,Un,1.0
10338218,Affy_10338218,Un,1.0
10338219,Affy_10338219,Un,1.0
10338220,Affy_10338220,Un,1.0
10338221,Aup1,6,83.005545
10338222,Affy_10338222,Un,1.0
10338223,Affy_10338223,Un,1.0
10338224,Affy_10338224,Un,1.0
10338225,Affy_10338225,Un,1.0
10338226,Affy_10338226,Un,1.0
10338227,Affy_10338227,Un,1.0
10338228,Affy_10338228,Un,1.0
10338229,Affy_10338229,Un,1.0
10338230,Affy_10338230,Un,1.0
10338231,Affy_10338231,Un,1.0
10338232,Affy_10338232,Un,1.0
10338233,Affy_10338233,Un,1.0
10338234,Affy_10338234,Un,1.0
10338235,Affy_10338235,Un,1.0
10338236,Affy_10338236,Un,1.0
10338237,Affy_10338237,Un,1.0
10338238,Affy_10338238,Un,1.0
10338239,Affy_10338239,Un,1.0
10338240,Affy_10338240,Un,1.0
10338241,Affy_10338241,Un,1.0
10338242,Affy_10338242,Un,1.0
10338243,Affy_10338243,Un,1.0
10338244,Affy_10338244,Un,1.0
10338245,Affy_10338245,Un,1.0
10338246,Affy_10338246,Un,1.0
10338247,Affy_10338247,Un,1.0
10338248,Affy_10338248,Un,1.0
10338249,Affy_10338249,Un,1.0
10338250,Affy_10338250,Un,1.0
10338251,Affy_10338251,Un,1.0
10338252,Affy_10338252,Un,1.0
10338253,Affy_10338253,Un,1.0
10338254,Affy_10338254,Un,1.0
10338255,Affy_10338255,Un,1.0
10338256,Affy_10338256,Un,1.0
10338257,Affy_10338257,Un,1.0
10338258,Affy_10338258,Un,1.0
10338259,Affy_10338259,Un,1.0
10338260,Affy_10338260,Un,1.0
10338261,Affy_10338261,Un,1.0
10338262,Affy_10338262,Un,1.0
10338263,Affy_10338263,Un,1.0
10338264,Affy_10338264,Un,1.0
10338265,Affy_10338265,Un,1.0
10338266,Affy_10338266,Un,1.0
10338267,Affy_10338267,Un,1.0
10338268,Affy_10338268,Un,1.0
10338269,Affy_10338269,Un,1.0
10338270,Affy_10338270,Un,1.0
10338271,Affy_10338271,Un,1.0
10338272,Affy_10338272,Un,1.0
10338273,Affy_10338273,Un,1.0
10338274,Affy_10338274,Un,1.0
10338275,Affy_10338275,Un,1.0
10338276,Affy_10338276,Un,1.0
10338277,Affy_10338277,Un,1.0
10338278,Affy_10338278,Un,1.0
10338279,Affy_10338279,Un,1.0
10338280,Affy_10338280,Un,1.0
10338281,Affy_10338281,Un,1.0
10338282,Affy_10338282,Un,1.0
10338283,Affy_10338283,Un,1.0
10338284,Affy_10338284,Un,1.0
10338285,Affy_10338285,Un,1.0
10338286,Affy_10338286,Un,1.0
10338287,Affy_10338287,Un,1.0
10338288,Affy_10338288,Un,1.0
10338289,Affy_10338289,Un,1.0
10338290,Affy_10338290,Un,1.0
10338291,Affy_10338291,Un,1.0
10338292,Itch,2,155.043784
10338293,Affy_10338293,Un,1.0
10338294,Affy_10338294,Un,1.0
10338295,Affy_10338295,Un,1.0
10338296,Affy_10338296,Un,1.0
10338297,Affy_10338297,Un,1.0
10338298,Copa,1,174.040673
10338299,Affy_10338299,Un,1.0
10338300,Affy_10338300,Un,1.0
10338301,Affy_10338301,Un,1.0
10338302,Affy_10338302,Un,1.0
10338303,Affy_10338303,Un,1.0
10338304,Affy_10338304,Un,1.0
10338305,Affy_10338305,Un,1.0
10338306,Affy_10338306,Un,1.0
10338307,Affy_10338307,Un,1.0
10338308,Affy_10338308,Un,1.0
10338309,Affy_10338309,Un,1.0
10338310,Affy_10338310,Un,1.0
10338311,Affy_10338311,Un,1.0
10338312,Affy_10338312,Un,1.0
10338313,Affy_10338313,Un,1.0
10338314,Affy_10338314,Un,1.0
10338315,Affy_10338315,Un,1.0
10338316,Affy_10338316,Un,1.0
10338317,Affy_10338317,Un,1.0
10338318,Affy_10338318,Un,1.0
10338319,Affy_10338319,Un,1.0
10338320,Affy_10338320,Un,1.0
10338321,Affy_10338321,Un,1.0
10338322,Affy_10338322,Un,1.0
10338323,Affy_10338323,Un,1.0
10338324,Affy_10338324,Un,1.0
10338325,Affy_10338325,Un,1.0
10338326,Affy_10338326,Un,1.0
10338327,Affy_10338327,Un,1.0
10338328,Affy_10338328,Un,1.0
10338329,Affy_10338329,Un,1.0
10338330,Affy_10338330,Un,1.0
10338331,Affy_10338331,Un,1.0
10338332,Affy_10338332,Un,1.0
10338333,Affy_10338333,Un,1.0
10338334,Affy_10338334,Un,1.0
10338335,Affy_10338335,Un,1.0
10338336,Affy_10338336,Un,1.0
10338337,Affy_10338337,Un,1.0
10338338,Affy_10338338,Un,1.0
10338339,Affy_10338339,Un,1.0
10338340,Affy_10338340,Un,1.0
10338341,Affy_10338341,Un,1.0
10338342,Affy_10338342,Un,1.0
10338343,Affy_10338343,Un,1.0
10338344,Affy_10338344,Un,1.0
10338345,Affy_10338345,Un,1.0
10338346,Affy_10338346,Un,1.0
10338347,Affy_10338347,Un,1.0
10338348,Affy_10338348,Un,1.0
10338349,Affy_10338349,Un,1.0
10338350,Affy_10338350,Un,1.0
10338351,Affy_10338351,Un,1.0
10338352,Affy_10338352,Un,1.0
10338353,Affy_10338353,Un,1.0
10338354,Affy_10338354,Un,1.0
10338355,Affy_10338355,Un,1.0
10338356,Affy_10338356,Un,1.0
10338357,Affy_10338357,Un,1.0
10338358,Affy_10338358,Un,1.0
10338359,Affy_10338359,Un,1.0
10338360,Affy_10338360,Un,1.0
10338361,Affy_10338361,Un,1.0
10338362,Affy_10338362,Un,1.0
10338363,Affy_10338363,Un,1.0
10338364,Affy_10338364,Un,1.0
10338365,Affy_10338365,Un,1.0
10338366,Affy_10338366,Un,1.0
10338367,Affy_10338367,Un,1.0
10338368,Affy_10338368,Un,1.0
10338369,Affy_10338369,Un,1.0
10338370,Affy_10338370,Un,1.0
10338371,Affy_10338371,Un,1.0
10338372,Affy_10338372,Un,1.0
10338373,Affy_10338373,Un,1.0
10338374,Tbl3,Un,1.0
10338375,Affy_10338375,Un,1.0
10338376,Affy_10338376,Un,1.0
10338377,Affy_10338377,Un,1.0
10338378,Affy_10338378,Un,1.0
10338379,Affy_10338379,Un,1.0
10338380,Affy_10338380,Un,1.0
10338381,Affy_10338381,Un,1.0
10338382,Affy_10338382,Un,1.0
10338383,Affy_10338383,Un,1.0
10338384,Affy_10338384,Un,1.0
10338385,Affy_10338385,Un,1.0
10338386,Affy_10338386,Un,1.0
10338387,Affy_10338387,Un,1.0
10338388,Affy_10338388,Un,1.0
10338389,Affy_10338389,Un,1.0
10338390,Affy_10338390,Un,1.0
10338391,Affy_10338391,Un,1.0
10338392,Affy_10338392,Un,1.0
10338393,Affy_10338393,Un,1.0
10338394,Affy_10338394,Un,1.0
10338395,Affy_10338395,Un,1.0
10338396,Affy_10338396,Un,1.0
10338397,Affy_10338397,Un,1.0
10338398,Affy_10338398,Un,1.0
10338399,Affy_10338399,Un,1.0
10338400,Affy_10338400,Un,1.0
10338401,Affy_10338401,Un,1.0
10338402,Affy_10338402,Un,1.0
10338403,Affy_10338403,Un,1.0
10338404,Affy_10338404,Un,1.0
10338405,Affy_10338405,Un,1.0
10338406,Affy_10338406,Un,1.0
10338407,Affy_10338407,Un,1.0
10338408,Affy_10338408,Un,1.0
10338409,Affy_10338409,Un,1.0
10338410,Affy_10338410,Un,1.0
10338411,Affy_10338411,Un,1.0
10338412,Affy_10338412,Un,1.0
10338413,Affy_10338413,Un,1.0
10338414,Affy_10338414,Un,1.0
10338415,Affy_10338415,Un,1.0
10338416,Affy_10338416,Un,1.0
10338417,Affy_10338417,Un,1.0
10338418,Affy_10338418,Un,1.0
10338419,Affy_10338419,Un,1.0
10338420,Affy_10338420,Un,1.0
10338421,Affy_10338421,Un,1.0
10338422,Affy_10338422,Un,1.0
10338423,Affy_10338423,Un,1.0
10338424,Affy_10338424,Un,1.0
10338425,Affy_10338425,Un,1.0
10338426,Affy_10338426,Un,1.0
10338427,Affy_10338427,Un,1.0
10338428,Affy_10338428,Un,1.0
10338429,Affy_10338429,Un,1.0
10338430,Affy_10338430,Un,1.0
10338431,Affy_10338431,Un,1.0
10338432,Affy_10338432,Un,1.0
10338433,Affy_10338433,Un,1.0
10338434,Affy_10338434,Un,1.0
10338435,Affy_10338435,Un,1.0
10338436,Affy_10338436,Un,1.0
10338437,Copa,1,174.052013
10338438,Affy_10338438,Un,1.0
10338439,Affy_10338439,Un,1.0
10338440,Affy_10338440,Un,1.0
10338441,Affy_10338441,Un,1.0
10338442,Affy_10338442,Un,1.0
10338443,Affy_10338443,Un,1.0
10338444,Affy_10338444,Un,1.0
10338445,Affy_10338445,Un,1.0
10338446,Affy_10338446,Un,1.0
10338447,Affy_10338447,Un,1.0
10338448,Affy_10338448,Un,1.0
10338449,Affy_10338449,Un,1.0
10338450,Affy_10338450,Un,1.0
10338451,Affy_10338451,Un,1.0
10338452,Affy_10338452,Un,1.0
10338453,Affy_10338453,Un,1.0
10338454,Affy_10338454,Un,1.0
10338455,Affy_10338455,Un,1.0
10338456,Affy_10338456,Un,1.0
10338457,Affy_10338457,Un,1.0
10338458,Affy_10338458,Un,1.0
10338459,Affy_10338459,Un,1.0
10338460,Affy_10338460,Un,1.0
10338461,Affy_10338461,Un,1.0
10338462,Affy_10338462,Un,1.0
10338463,Affy_10338463,Un,1.0
10338464,Affy_10338464,Un,1.0
10338465,Affy_10338465,Un,1.0
10338466,Affy_10338466,Un,1.0
10338467,Affy_10338467,Un,1.0
10338468,Affy_10338468,Un,1.0
10338469,Affy_10338469,Un,1.0
10338470,Affy_10338470,Un,1.0
10338471,Affy_10338471,Un,1.0
10338472,Affy_10338472,Un,1.0
10338473,Affy_10338473,Un,1.0
10338474,Affy_10338474,Un,1.0
10338475,Affy_10338475,Un,1.0
10338476,Affy_10338476,Un,1.0
10338477,Affy_10338477,Un,1.0
10338478,Affy_10338478,Un,1.0
10338479,Affy_10338479,Un,1.0
10338480,Affy_10338480,Un,1.0
10338481,Affy_10338481,Un,1.0
10338482,LTR_Affy_10338482,Un,1.0
10338483,Affy_10338483,Un,1.0
10338484,Affy_10338484,Un,1.0
10338485,Affy_10338485,Un,1.0
10338486,Affy_10338486,Un,1.0
10338487,Affy_10338487,Un,1.0
10338488,Affy_10338488,Un,1.0
10338489,Affy_10338489,Un,1.0
10338490,Affy_10338490,Un,1.0
10338491,Affy_10338491,Un,1.0
10338492,Affy_10338492,Un,1.0
10338493,Affy_10338493,Un,1.0
10338494,Affy_10338494,Un,1.0
10338495,Affy_10338495,Un,1.0
10338496,Affy_10338496,Un,1.0
10338497,Affy_10338497,Un,1.0
10338498,Affy_10338498,Un,1.0
10338499,Affy_10338499,Un,1.0
10338500,Affy_10338500,Un,1.0
10338501,Affy_10338501,Un,1.0
10338502,Affy_10338502,Un,1.0
10338503,Affy_10338503,Un,1.0
10338504,Affy_10338504,Un,1.0
10338505,Affy_10338505,Un,1.0
10338506,Affy_10338506,Un,1.0
10338507,Affy_10338507,Un,1.0
10338508,Affy_10338508,Un,1.0
10338509,Affy_10338509,Un,1.0
10338510,Affy_10338510,Un,1.0
10338511,Affy_10338511,Un,1.0
10338512,Anapc1,2,128.484632
10338513,Affy_10338513,Un,1.0
10338514,Affy_10338514,Un,1.0
10338515,Affy_10338515,Un,1.0
10338516,Affy_10338516,Un,1.0
10338517,Affy_10338517,Un,1.0
10338518,Affy_10338518,Un,1.0
10338519,Affy_10338519,Un,1.0
10338520,Affy_10338520,Un,1.0
10338521,Affy_10338521,Un,1.0
10338522,Affy_10338522,Un,1.0
10338523,Affy_10338523,Un,1.0
10338524,Affy_10338524,Un,1.0
10338525,Affy_10338525,Un,1.0
10338526,Affy_10338526,Un,1.0
10338527,Affy_10338527,Un,1.0
10338528,Affy_10338528,Un,1.0
10338529,Affy_10338529,Un,1.0
10338530,Affy_10338530,Un,1.0
10338531,Affy_10338531,Un,1.0
10338532,Affy_10338532,Un,1.0
10338533,Affy_10338533,Un,1.0
10338534,Affy_10338534,Un,1.0
10338535,Affy_10338535,Un,1.0
10338536,Affy_10338536,Un,1.0
10338537,Vta1,10,14.423167
10338538,Affy_10338538,Un,1.0
10338539,Affy_10338539,Un,1.0
10338540,Affy_10338540,Un,1.0
10338541,Affy_10338541,Un,1.0
10338542,Affy_10338542,Un,1.0
10338543,Affy_10338543,Un,1.0
10338544,Affy_10338544,Un,1.0
10338545,Affy_10338545,Un,1.0
10338546,Affy_10338546,Un,1.0
10338547,Affy_10338547,Un,1.0
10338548,Affy_10338548,Un,1.0
10338549,Affy_10338549,Un,1.0
10338550,Affy_10338550,Un,1.0
10338551,Affy_10338551,Un,1.0
10338552,Affy_10338552,Un,1.0
10338553,Affy_10338553,Un,1.0
10338554,Affy_10338554,Un,1.0
10338555,Affy_10338555,Un,1.0
10338556,Affy_10338556,Un,1.0
10338557,Affy_10338557,Un,1.0
10338558,Affy_10338558,Un,1.0
10338559,Affy_10338559,Un,1.0
10338560,Affy_10338560,Un,1.0
10338561,Affy_10338561,Un,1.0
10338562,Affy_10338562,Un,1.0
10338563,Affy_10338563,Un,1.0
10338564,Affy_10338564,Un,1.0
10338565,Affy_10338565,Un,1.0
10338566,Affy_10338566,Un,1.0
10338567,Affy_10338567,Un,1.0
10338568,Affy_10338568,Un,1.0
10338569,Affy_10338569,Un,1.0
10338570,Affy_10338570,Un,1.0
10338571,Affy_10338571,Un,1.0
10338572,Affy_10338572,Un,1.0
10338573,Affy_10338573,Un,1.0
10338574,Affy_10338574,Un,1.0
10338575,Affy_10338575,Un,1.0
10338576,Affy_10338576,Un,1.0
10338577,Affy_10338577,Un,1.0
10338578,Affy_10338578,Un,1.0
10338579,Affy_10338579,Un,1.0
10338580,Affy_10338580,Un,1.0
10338581,Affy_10338581,Un,1.0
10338582,Affy_10338582,Un,1.0
10338583,Affy_10338583,Un,1.0
10338584,Affy_10338584,Un,1.0
10338585,Psap,10,59.762899
10338586,Affy_10338586,Un,1.0
10338587,Affy_10338587,Un,1.0
10338588,Affy_10338588,Un,1.0
10338589,Affy_10338589,Un,1.0
10338590,Affy_10338590,Un,1.0
10338591,Affy_10338591,Un,1.0
10338592,Affy_10338592,Un,1.0
10338593,Affy_10338593,Un,1.0
10338594,Affy_10338594,Un,1.0
10338595,Affy_10338595,Un,1.0
10338596,Affy_10338596,Un,1.0
10338597,Affy_10338597,Un,1.0
10338598,Affy_10338598,Un,1.0
10338599,Affy_10338599,Un,1.0
10338600,Affy_10338600,Un,1.0
10338601,Fryl,5,73.41519
10338602,Affy_10338602,Un,1.0
10338603,Affy_10338603,Un,1.0
10338604,Affy_10338604,Un,1.0
10338605,Affy_10338605,Un,1.0
10338606,Affy_10338606,Un,1.0
10338607,Affy_10338607,Un,1.0
10338608,Affy_10338608,Un,1.0
10338609,Affy_10338609,Un,1.0
10338610,Affy_10338610,Un,1.0
10338611,Affy_10338611,Un,1.0
10338612,Affy_10338612,Un,1.0
10338613,Affy_10338613,Un,1.0
10338614,Affy_10338614,Un,1.0
10338615,Affy_10338615,Un,1.0
10338616,Affy_10338616,Un,1.0
10338617,Affy_10338617,Un,1.0
10338618,Affy_10338618,Un,1.0
10338619,Affy_10338619,Un,1.0
10338620,Affy_10338620,Un,1.0
10338621,Affy_10338621,Un,1.0
10338622,Affy_10338622,Un,1.0
10338623,Affy_10338623,Un,1.0
10338624,Affy_10338624,Un,1.0
10338625,Affy_10338625,Un,1.0
10338626,Affy_10338626,Un,1.0
10338627,Affy_10338627,Un,1.0
10338628,Affy_10338628,Un,1.0
10338629,Affy_10338629,Un,1.0
10338630,Affy_10338630,Un,1.0
10338631,Affy_10338631,Un,1.0
10338632,Affy_10338632,Un,1.0
10338633,Affy_10338633,Un,1.0
10338634,Affy_10338634,Un,1.0
10338635,Affy_10338635,Un,1.0
10338636,Affy_10338636,Un,1.0
10338637,Affy_10338637,Un,1.0
10338638,Affy_10338638,Un,1.0
10338639,Golga7,8,24.355953
10338640,Affy_10338640,Un,1.0
10338641,Affy_10338641,Un,1.0
10338642,Affy_10338642,Un,1.0
10338643,Affy_10338643,Un,1.0
10338644,Affy_10338644,Un,1.0
10338645,Affy_10338645,Un,1.0
10338646,Affy_10338646,Un,1.0
10338647,Affy_10338647,Un,1.0
10338648,Affy_10338648,Un,1.0
10338649,Affy_10338649,Un,1.0
10338650,Affy_10338650,Un,1.0
10338651,Affy_10338651,Un,1.0
10338652,Affy_10338652,Un,1.0
10338653,Affy_10338653,Un,1.0
10338654,Affy_10338654,Un,1.0
10338655,Affy_10338655,Un,1.0
10338656,Affy_10338656,Un,1.0
10338657,Affy_10338657,Un,1.0
10338658,Affy_10338658,Un,1.0
10338659,Affy_10338659,Un,1.0
10338660,Affy_10338660,Un,1.0
10338661,Affy_10338661,Un,1.0
10338662,Affy_10338662,Un,1.0
10338663,Affy_10338663,Un,1.0
10338664,Affy_10338664,Un,1.0
10338665,Affy_10338665,Un,1.0
10338666,Affy_10338666,Un,1.0
10338667,Affy_10338667,Un,1.0
10338668,Affy_10338668,Un,1.0
10338669,Affy_10338669,Un,1.0
10338670,Affy_10338670,Un,1.0
10338671,Affy_10338671,Un,1.0
10338672,Affy_10338672,Un,1.0
10338673,Affy_10338673,Un,1.0
10338674,Xpo7,14,71.083519
10338675,Affy_10338675,Un,1.0
10338676,Affy_10338676,Un,1.0
10338677,Affy_10338677,Un,1.0
10338678,Affy_10338678,Un,1.0
10338679,Affy_10338679,Un,1.0
10338680,Affy_10338680,Un,1.0
10338681,Affy_10338681,Un,1.0
10338682,Affy_10338682,Un,1.0
10338683,Affy_10338683,Un,1.0
10338684,C18orf32,18,75.166511
10338685,Affy_10338685,Un,1.0
10338686,Affy_10338686,Un,1.0
10338687,Affy_10338687,Un,1.0
10338688,Affy_10338688,Un,1.0
10338689,Affy_10338689,Un,1.0
10338690,Affy_10338690,Un,1.0
10338691,Affy_10338691,Un,1.0
10338692,Affy_10338692,Un,1.0
10338693,Affy_10338693,Un,1.0
10338694,Affy_10338694,Un,1.0
10338695,Affy_10338695,Un,1.0
10338696,Affy_10338696,Un,1.0
10338697,Affy_10338697,Un,1.0
10338698,Affy_10338698,Un,1.0
10338699,Affy_10338699,Un,1.0
10338700,Affy_10338700,Un,1.0
10338701,Affy_10338701,Un,1.0
10338702,Affy_10338702,Un,1.0
10338703,Affy_10338703,Un,1.0
10338704,Affy_10338704,Un,1.0
10338705,Affy_10338705,Un,1.0
10338706,Affy_10338706,Un,1.0
10338707,Affy_10338707,Un,1.0
10338708,Affy_10338708,Un,1.0
10338709,Affy_10338709,Un,1.0
10338710,Affy_10338710,Un,1.0
10338711,Affy_10338711,Un,1.0
10338712,Affy_10338712,Un,1.0
10338713,Anapc1,2,128.485168
10338714,Affy_10338714,Un,1.0
10338715,Affy_10338715,Un,1.0
10338716,Affy_10338716,Un,1.0
10338717,Affy_10338717,Un,1.0
10338718,Affy_10338718,Un,1.0
10338719,Affy_10338719,Un,1.0
10338720,Affy_10338720,Un,1.0
10338721,Affy_10338721,Un,1.0
10338722,Affy_10338722,Un,1.0
10338723,Affy_10338723,Un,1.0
10338724,Affy_10338724,Un,1.0
10338725,Affy_10338725,Un,1.0
10338726,Affy_10338726,Un,1.0
10338727,Affy_10338727,Un,1.0
10338728,Affy_10338728,Un,1.0
10338729,Affy_10338729,Un,1.0
10338730,Affy_10338730,Un,1.0
10338731,Affy_10338731,Un,1.0
10338732,Affy_10338732,Un,1.0
10338733,Affy_10338733,Un,1.0
10338734,Affy_10338734,Un,1.0
10338735,Affy_10338735,Un,1.0
10338736,Affy_10338736,Un,1.0
10338737,Affy_10338737,Un,1.0
10338738,Affy_10338738,Un,1.0
